0,0,0
-0.2488,-0.1781,0.9520
-0.0638,0.0363,1.9111
0.5617,-0.4441,1.2962
1.5530,-0.3144,1.2773
1.8096,0.6500,1.3401
0.9223,0.3121,1.0262
1.6380,0.2315,0.3324
1.5933,0.7412,-0.5268
1.0425,1.5721,-0.6054
0.8839,0.9205,0.1364
-0.0426,1.0680,-0.2098
-0.1800,0.1859,0.2409
-0.4667,0.7233,1.0341
-1.4090,0.9908,1.2356
-1.7398,0.0502,1.1596
-2.2475,0.3725,1.9587
-2.1091,-0.5750,2.2470
-2.3696,-0.0330,1.4479
-3.2386,-0.3489,1.0671
-4.1827,-0.6756,1.0239
-3.8508,-0.1010,0.2758
-2.9240,-0.2506,-0.0686
-2.2329,0.2594,0.4435
-1.9262,1.1925,0.6315
-0.9457,1.2028,0.4356
-0.4390,0.7967,1.1961
0.1026,-0.0400,1.2773
0.3355,-0.1657,2.2416
0.9710,0.1916,1.5572
1.6642,0.9103,1.5025
2.5416,0.9812,1.0280
2.0051,1.4006,0.2956
1.2783,2.0471,0.0639
1.1994,1.1163,-0.2931
0.9568,0.2150,-0.6520
0.0542,-0.2144,-0.6220
-0.2190,-0.7887,0.1497
-0.0755,-1.7575,-0.0525
0.0404,-0.8513,0.3541
0.1447,-0.5509,-0.5941
-0.4901,-1.0397,-1.1926
-1.2336,-1.5002,-1.6774
-1.6703,-0.6061,-1.5780
-1.1388,-0.0295,-2.1985
-1.8879,0.4632,-2.6413
-1.8031,0.8352,-3.5657
-1.3225,-0.0194,-3.7623
-2.0088,0.6003,-4.1431
-2.5523,0.7026,-4.9762
-1.9158,1.3949,-4.6363
-2.8788,1.4326,-4.9029
-3.6108,1.4366,-5.5843
-3.3239,1.7428,-6.4920
-2.6298,1.5164,-5.8087
-2.2649,1.6095,-4.8823
-2.8294,1.8914,-4.1064
-3.4924,2.6347,-4.1952
-3.8612,3.2282,-3.4799
-2.9440,3.3487,-3.8597
-3.1803,3.8643,-4.6833
-3.2306,4.5309,-5.4270
-3.4109,5.4984,-5.6042
-2.6324,5.1069,-6.0947
-2.3602,4.4059,-5.4356
-3.3285,4.5737,-5.2503
-4.0851,5.0595,-5.6879
-4.2207,6.0331,-5.8712
-3.6175,6.5372,-6.4893
-3.0538,5.8300,-6.9161
-2.2268,6.2175,-7.3235
-2.9990,6.3354,-6.6992
-2.0060,6.3219,-6.5821
-1.9763,7.1100,-5.9672
-2.3987,7.7976,-5.3767
-1.6290,8.3790,-5.6404
-1.7134,7.4823,-5.2058
-1.7960,8.3977,-4.8119
-0.9844,8.9741,-4.9074
-1.1998,8.0035,-4.8005
-0.4171,7.8441,-5.4022
-0.4251,8.4644,-6.1865
0.3888,7.9473,-5.9215
0.5123,8.2610,-4.9800
-0.3610,7.7877,-4.8646
-0.6485,8.7428,-4.9358
-0.9444,7.7912,-4.8530
-0.0203,8.1243,-5.0401
0.3976,8.2077,-5.9448
-0.5338,7.9774,-6.2266
-0.2913,8.1888,-5.2798
0.2372,7.4872,-4.8019
-0.4291,8.2124,-4.6281
0.1371,7.7307,-3.9592
-0.1981,7.7274,-4.9014
0.2703,8.1437,-5.6807
0.2009,7.4736,-6.4197
-0.3610,6.6467,-6.4384
-0.0967,5.7801,-6.8617
-0.9731,6.0645,-6.4730
-1.4101,5.1915,-6.2566
-0.5090,5.5596,-6.4857
-0.1421,6.2790,-5.8960
0.1785,6.2048,-6.8403
0.0884,6.6579,-7.7272
0.0320,6.3000,-8.6593
0.1057,6.5358,-7.6902
0.0428,5.5474,-7.8289
0.4587,6.2229,-7.2199
1.1428,6.7599,-6.7264
0.6691,6.1569,-6.0845
0.6349,5.4635,-6.8042
0.3239,5.9214,-7.6371
1.0958,5.4072,-7.2631
1.8599,4.8139,-7.0098
1.9421,4.0206,-7.6130
1.6236,4.9250,-7.8967
1.7776,4.4228,-7.0458
1.5731,5.3447,-7.3750
2.2184,5.0680,-6.6630
1.2688,5.1358,-6.9691
1.3341,4.7596,-6.0449
1.9017,5.5296,-5.7533
1.4572,4.6338,-5.7616
1.2813,5.0490,-6.6542
1.3729,4.3265,-7.3395
0.4312,4.6253,-7.4946
0.8828,4.8369,-6.6279
0.3371,5.4711,-7.1756
1.3191,5.5676,-7.3379
0.9992,6.1028,-6.5561
0.1844,6.0242,-7.1305
-0.5631,5.3837,-7.3063
0.2524,5.8253,-6.9323
-0.5284,5.2006,-6.9324
-0.4249,6.1065,-6.5216
-1.1633,6.6979,-6.8456
-0.2278,6.5542,-7.1685
0.7058,6.2175,-7.2908
1.3615,5.4626,-7.3059
1.6897,5.1254,-6.4236
1.1104,4.3155,-6.5165
2.0510,4.4716,-6.8182
1.8606,4.6023,-5.8452
2.7619,4.9553,-5.5942
2.9110,4.1898,-6.2201
2.4910,4.2899,-7.1221
1.7937,4.0874,-6.4346
1.3223,4.0077,-5.5562
1.6135,4.9643,-5.5707
0.8010,4.4960,-5.2236
1.2737,4.5691,-6.1018
2.1365,4.0689,-6.1754
2.4096,4.9463,-5.7810
3.3211,4.5883,-5.9836
3.5048,3.8134,-5.3787
4.3919,3.7744,-4.9188
3.9404,3.0489,-5.4383
3.7651,3.1557,-6.4170
3.7622,3.8056,-5.6570
3.5016,2.9181,-5.2769
3.5410,3.7026,-4.6580
4.4427,4.0873,-4.8555
4.9852,3.4213,-5.3675
5.1699,4.1926,-4.7584
